idnoremp;Seccion18;Division;periodo;intio;pottcag;gppgpa;ocgtot;CONINTER;OTROSG;PEROCU;PEREMU;PMISION;SULPERM;SULSAL;SULTEMP;SULMISION;SULAPRENDIZ;PRESPERM;PRESTEMP;PRESMISION;PRESTA;REMU;PROBRU;VALAGRE;TOTG;idaio;imesetot;inoio;insertot;potpsfr;pompsfr;pohpsfr;potperm;pomperm;pohperm;pottcde;pomtcde;pohtcde;pottmoe;pomtmoe;pohtmoe;pomtcag;pohtcag;potpau;pompau;pohpau;pomtot;pohtot;pottot;pompsfr1;pohpsfr2;pompsfr3;pohpsfr4;pompsfr5;pohpsfr6;pomperm1;pohperm2;pomperm3;pohperm4;pomperm5;pohperm6;pomtcde1;pohtcde2;pomtcde3;pohtcde4;pomtcde5;pohtcde6;pomtcag1;pohtcag2;pomtcag3;pohtcag4;pomtcag5;pohtcag6;pomtdhc;pohtdhc;pomtmad;pohtmad;pompau1;pohpau2;pomtot1;pohtot2;pomtot3;pohtot4;pomtot5;pohtot6;ththca;thtmas;gppsi;gpper;gpppsp;gpppst;gsppt;gppcpo;gppano;gppavo;gpppta;gppgpn;gpptpot;ocgrps;gmesetot;gsptot;ocgrc;ocgid;occree;ocgoi;ocgpc;ocgog;ocgtg;ocgamc;ocgtgno;gouts;ocgsv;ocgee;ocgar;ocgca;ocgse;ocgsp;ocgco;ocgfa;ocgpp;ocgnr;ocggv;ocgct;ocggr;ocgup;ocgcl;ocgusi;ocgspe;ocgsgn;gppsied1;gppsied2;gppsied3;gppered1;gppered2;gppered3;gpppsp1;gpppsp2;gpppsp3;gpppsted1;gpppsted2;gpppsted3;gppcpoed1;gppcpoed2;gppcpoed3;gppanoed1;gppanoed2;gppanoed3;gppavoed1;gppavoed2;gppavoed3;gppdocen;gppgpaed1;gppmoni;gppgpned1;gppgpned2;gppgpned3;gpptpoted1;gpptpoted2;gpptpoted3;opcomex
13451;P;85;2018;59305570;12;93241;17150053;15819939;2229385;532;532;;11633588;18165868;6439039;0;93241;3101605;1419666;0;10390536;28556404;59196541;43376602;30785789;1970;106970;495267;58703333;0;0;0;342;147;195;132;73;59;;;;5;7;12;5;7;245;299;544;0;0;0;0;0;0;120;160;26;34;1;2;5;4;58;47;20;16;5;7;0;0;0;0;15;31;0;0;5;7;135;178;84;81;21;18;114811;0;0;11633588;3101605;0;0;4118219;1751046;0;217110;2229385;37535785;312322;109029;5079060;0;163018;0;860574;94347;0;2435359;0;0;0;1538008;471667;3556;334788;297926;207099;531515;3706;647296;909441;1500256;0;37460;287948;63277;34344;1007786;3161;0;0;0;7739330;3803877;90381;2099506;980157;21942;0;0;0;1866145;2044455;207619;791018;873764;86264;0;0;0;6749996;93241;0;1328249;782071;119065;14292139;14971783;1521867;3
13452;P;85;2018;160572356;0;479903;26193485;24035706;2687866;1045;1045;;828562;22942609;21634144;0;479903;391840;5700629;0;15192516;38135125;160171957;136136251;40822991;1959;553700;710945;159307711;0;0;0;26;12;14;782;382;400;;;;0;0;58;45;13;527;518;1045;0;0;0;0;0;0;11;5;1;6;0;6;210;200;170;195;4;10;0;0;0;0;0;0;88;91;0;0;45;13;266;218;171;201;4;16;447952;32;0;828562;391840;0;0;6912920;2187127;0;0;2687866;66796752;622704;400399;4320612;0;461621;0;1102907;0;0;1746292;0;0;0;2853617;359827;54217;663390;1259122;361197;1622432;198193;985049;5250269;1200479;0;0;264317;35215;192346;2236240;3040;0;0;0;593981;148822;85759;336279;35622;19939;0;0;0;2307626;4479899;125395;727251;1418163;41713;0;0;0;25618957;479903;354804;2482417;204461;988;15511484;24600164;711343;4
13453;P;85;2018;110894099;0;376823;36030326;32042053;342538;1028;1028;;27054795;37659102;10227484;0;376823;7785998;4770698;0;23842820;61501922;110894099;78852046;61844460;1970;0;3520446;107373653;0;0;0;510;211;299;416;196;220;;;;0;0;40;19;21;446;582;1028;0;0;0;0;0;0;159;189;52;110;0;0;160;178;36;41;0;2;0;0;0;0;0;0;20;42;0;0;19;21;338;388;88;151;0;2;155759;0;4807380;23689629;6343784;0;0;7781788;3504336;0;0;342538;69258362;159518;0;9720561;0;349000;0;655236;2760179;0;4458538;0;0;0;2391271;571151;1449682;986722;463324;26138;1268868;881483;1428483;4484003;1409637;0;83551;764763;58551;161970;1452046;45651;3042132;1765248;0;10415836;13273793;0;2883338;3460446;0;0;0;0;3702218;4056995;22575;1706735;1781687;15914;0;0;0;7413902;376823;0;342538;0;0;31793292;29794204;256964;2
13454;P;85;2018;999636;0;0;409160;402739;3688;11;11;;197231;197231;0;0;0;46188;0;0;101480;298711;999636;596897;302399;1975;0;0;999636;0;0;0;10;3;7;0;0;0;;;;0;0;0;0;0;4;7;11;0;0;0;0;0;0;1;3;1;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;3;1;2;2;3;1800;0;0;197231;46188;0;0;41449;16284;0;0;3688;349840;7300;0;5950;0;0;0;2487;0;0;1568;0;0;0;546;0;157069;0;4934;4124;1729;2062;7962;188861;0;0;0;7036;1592;2243;13697;0;0;0;0;60147;72572;64512;15328;15843;15017;0;0;0;12630;15257;13562;3946;6532;5806;0;0;0;45000;0;0;3032;656;0;95083;110860;98897;4
13455;P;85;2018;6660050;16;9386;2234487;2138869;13311;69;69;;758676;2047640;1279578;0;9386;187195;305776;0;1048301;3095941;6660050;4521181;3109252;1964;0;11979;6648071;0;0;0;5;1;4;59;23;36;;;;14;2;1;0;1;39;46;85;0;0;0;0;0;0;1;4;0;0;0;0;17;18;3;15;6;6;14;2;0;0;0;0;1;3;0;0;0;1;32;25;3;15;6;6;9008;0;0;758676;187195;0;0;363904;191426;0;153720;13311;3428006;509938;0;338269;0;18623;0;17956;47555;0;58962;0;0;0;179851;21443;349599;56616;16417;16662;99552;1042;172817;59321;6489;0;11765;20587;98;3848;73357;0;0;0;0;758676;0;0;187195;0;0;0;0;0;235707;40621;87576;132692;19484;39250;0;0;0;318754;9386;0;4309;6081;2921;2166876;312074;630302;4
13456;P;85;2018;16733612;14;80129;4736917;4439211;36639;153;153;;1559284;4289268;2649855;0;80129;437419;606556;0;2473087;6762355;16733612;12294401;6798994;1984;0;47498;16686114;0;0;0;62;38;24;73;24;49;;;;7;7;9;3;6;75;92;167;0;0;0;0;0;0;38;23;0;1;0;0;12;5;11;41;1;6;7;7;0;0;0;0;3;5;0;1;3;6;60;41;11;42;1;6;19313;1999;113731;1479672;403300;0;0;1020283;408829;0;314263;36639;8994558;168818;0;514140;0;43817;0;69450;149671;0;35010;0;0;0;351643;1017;1539652;23636;50028;53627;112634;3210;685316;205944;118098;0;0;43543;3066;18237;232041;56;113731;0;0;1441626;38046;0;393532;9768;0;0;0;0;477617;505863;36803;190608;203687;14534;0;0;0;2149104;80129;46460;36560;79;0;3198094;3361527;239373;4
13457;P;85;2018;8685368;0;39752;2496448;2359094;102715;115;115;0;2915783;3471253;515718;0;39752;746250;111090;0;1925976;5397229;8685368;6326274;5499944;1978;0;0;8685368;0;0;0;84;48;36;19;6;13;0;0;0;0;0;7;3;4;60;55;115;0;0;0;0;0;0;29;24;19;12;0;0;3;3;1;8;3;3;0;0;0;0;0;0;3;2;0;0;3;4;35;31;20;20;3;3;12670;0;0;2915783;746250;0;0;751087;317549;0;0;102715;5796534;211732;0;244890;0;24298;0;43691;50148;0;508225;0;0;0;186924;18904;346857;26570;19848;25605;86628;1677;219404;209551;46178;0;0;51557;0;13286;156784;3691;0;0;0;1457439;1458344;0;395444;350806;0;67847;0;0;311132;404579;35376;140758;163291;13500;0;0;0;296590;39752;0;93821;7683;1211;2521849;2758862;219233;4
13458;Q;86;2018;3114699;0;19719;1976832;1900803;32356;46;36;0;514433;534152;0;0;19719;131656;0;0;229848;764000;3114699;1213896;796356;1987;0;63139;3051560;10;0;10;32;20;12;0;0;0;0;0;0;0;0;4;0;4;20;26;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;514433;131656;0;0;75961;22231;0;0;32356;796356;1712141;0;58789;512;4167;0;69603;952;0;10878;0;0;0;7788;496;0;0;30021;1072;6639;30;12180;45227;0;0;0;0;0;7819;8394;124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13459;Q;86;2018;45414351;0;135532;29707964;27238829;223971;330;330;0;7835175;8152222;181515;0;135532;1955985;40169;0;3653107;11805329;45414351;18175522;12029300;1988;0;0;45414351;0;0;0;298;226;72;17;15;2;0;0;0;0;0;15;10;5;251;79;330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;771535;7295100;1724524;0;0;1306381;338572;12000;0;223971;12029299;21149332;0;1284950;0;49741;0;27705;2343158;0;883574;0;0;0;548309;406199;1222015;6778;15567;43858;61379;60294;0;754753;16884;0;0;122818;12891;83245;612205;2309;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
13460;Q;86;2018;80265720;0;290020;47169305;46534890;538889;684;684;0;628418;13458790;12540352;0;290020;269322;2787518;0;5431617;18890407;80265720;33730830;19429296;1988;0;585596;79680124;0;0;0;2;1;1;653;516;137;0;0;0;0;0;29;21;8;538;146;684;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;897740;0;0;0;0;1841878;532899;0;0;538889;19429296;39716266;0;818505;0;17530;0;314351;241927;0;323282;0;0;0;668153;183182;1118000;32742;272232;850198;142616;83829;25798;585749;74759;0;106735;243662;4021;179064;1146903;19801;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
